Data;Canal;Campanha;Investimento;Impressões;Cliques;Adicoes_ao_Carrinho;Conversoes;Receita
15/01/2023;Google Ads;Marca-Institucional-2023;150,50;8500;425;40;12;2400,00
15/01/2023;Facebook Ads;Reels-Decor-Jan23;80,00;12000;360;25;5;850,50
16/01/2023;Google Ads;Marca-Institucional-2023;155,00;8700;440;42;14;2850,00
16/01/2023;Facebook Ads;Reels-Decor-Jan23;85,50;13500;405;28;6;1020,00
05/02/2023;Email Marketing;Newsletter-Semanal-Fev23;15,00;5000;500;80;25;4500,75
20/03/2023;Instagram Orgânico;Post-Cozinha-Mar23;0,00;9500;475;50;10;1800,00
21/03/2023;Google Ads;Pesquisa-Sustentavel-2023;250,00;11000;660;70;20;4100,00
01/04/2023;Facebook Ads;Stories-Páscoa-Abr23;120,00;15000;450;35;8;1500,50
10/05/2024;Google Ads;Shopping-DiaDasMaes-2024;450,00;18000;1260;150;55;12100,00
10/05/2024;Facebook Ads;Carrossel-Maes-2024;280,00;25000;1000;110;30;6300,00
11/05/2024;Email Marketing;Email-Promo-Maes-2024;25,00;8000;960;180;80;17600,00
11/05/2024;Instagram Orgânico;Post-Maes-2024;0,00;15000;750;90;18;3780,00
15/06/2024;Google Ads;Pesquisa-Sustentavel-2023;280,00;12500;750;80;25;5250,00
16/06/2024;Facebook Ads;Stories-Namorados-Jun24;150,00;18000;720;60;15;3000,00
01/07/2024;Email Marketing;Newsletter-Semanal-Jul24;18,00;5500;550;90;28;5320,00
15/08/2024;Instagram Orgânico;Post-CasaLimpa-Ago24;0,00;11000;550;60;12;2280,00
01/09/2024;Google Ads;Marca-Institucional-2024;200,00;10000;500;55;15;3150,00
02/09/2024;Facebook Ads;Reels-Setembro-2024;100,00;14000;420;30;7;1330,00
20/10/2024;Google Ads;Pesquisa-Sustentavel-2023;300,00;13000;780;85;28;5880,00
25/11/2024;Google Ads;Shopping-BlackFriday-2024;800,00;35000;3150;400;150;33000,00
25/11/2024;Facebook Ads;Stories-BlackFriday-2024;550,00;50000;2500;280;80;16800,00
26/11/2024;Email Marketing;Email-BlackFriday-2024;50,00;12000;1800;350;180;39600,00
26/11/2024;Instagram Orgânico;Post-BlackFriday-2024;0,00;28000;1400;150;35;7350,00
10/12/2024;Google Ads;Shopping-Natal-2024;600,00;28000;2240;250;100;21000,00
11/12/2024;Facebook Ads;Carrossel-Natal-2024;400,00;38000;1900;200;60;12600,00
15/01/2025;Google Ads;Marca-Institucional-2025;180,00;9500;475;50;16;3360,00
16/01/2025;Facebook Ads;Reels-Verão-Jan25;90,00;14000;490;40;9;1890,00
05/02/2025;Email Marketing;Newsletter-Semanal-Fev25;20,00;6000;660;110;35;7350,00
20/03/2025;Instagram Orgânico;Post-Organiza-Mar25;0,00;13000;650;70;15;3000,00
21/03/2025;Google Ads;Pesquisa-Sustentavel-2025;320,00;14000;840;90;30;6300,00
01/04/2025;Facebook Ads;Stories-CasaNova-Abr25;130,00;16000;560;45;10;2000,00
08/05/2025;Google Ads;Shopping-DiaDasMaes-2025;500,00;20000;1500;180;65;14300,00
09/05/2025;Facebook Ads;Carrossel-Maes-2025;320,00;28000;1260;140;38;7980,00
10/05/2025;Email Marketing;Email-Promo-Maes-2025;30,00;9000;1170;220;100;22000,00
11/05/2025;Instagram Orgânico;Post-Maes-2025;0,00;18000;900;100;22;4620,00
15/06/2025;Google Ads;Pesquisa-Sustentavel-2025;350,00;15000;900;100;35;7350,00
16/06/2025;Facebook Ads;Stories-Namorados-Jun25;180,00;20000;800;70;18;3600,00
01/07/2025;Email Marketing;Newsletter-Semanal-Jul25;22,00;6500;715;120;40;8400,00
01/07/2025;Email Marketing;Newsletter-Semanal-Jul25;22,00;6500;715;120;40;8400,00